what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.core,3.7.1.v_B76_R37x,"org.eclipse.jdt.core",1351617071536
started,bundle,org.eclipse.jdt.launching,3.6.1.v20110803_r371,"org.eclipse.jdt.launching",1351617071538
started,bundle,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui",1351617071543
started,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.501.v201107261503,"org.eclipse.jst.j2ee.navigator.ui",1351617071546
started,bundle,org.eclipse.jst.j2ee.ui,1.1.501.v201108231700,"org.eclipse.jst.j2ee.ui",1351617071549
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1351617071551
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.2.v20110903-0100,"org.eclipse.mylyn.bugzilla.core",1351617071553
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1351617071555
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1351617071557
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1351617071559
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1351617071570
started,bundle,org.eclipse.ui.navigator,3.5.100.v20110809-2227,"org.eclipse.ui.navigator",1351617071572
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1351617071572
started,bundle,org.eclipse.emf.common.ui,2.7.0.v20120130-0943,"org.eclipse.emf.common.ui",1351617071572
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1351617071572
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1351617071574
started,bundle,org.eclipse.emf.edit,2.7.2.v20120130-0943,"org.eclipse.emf.edit",1351617071574
started,bundle,org.eclipse.emf.edit.ui,2.7.0.v20120130-0943,"org.eclipse.emf.edit.ui",1351617071574
started,bundle,org.eclipse.jem,2.0.501.v201111030500,"org.eclipse.jem",1351617071576
started,bundle,org.eclipse.jst.j2ee,1.1.503.v201202090300,"org.eclipse.jst.j2ee",1351617071579
started,bundle,org.eclipse.jst.j2ee.core,1.2.102.v201202090300,"org.eclipse.jst.j2ee.core",1351617071583
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1351617071585
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1351617071618
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1351617071618
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1351617071624
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1351617071627
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1351617071630
os,sysinfo,,,"win32",1351617071636
arch,sysinfo,,,"x86",1351617071636
ws,sysinfo,,,"win32",1351617071636
locale,sysinfo,,,"en_US",1351617071636
processors,sysinfo,,,"4",1351617071636
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1351617071636
java.runtime.version,sysinfo,,,"1.7.0-b147",1351617071636
java.specification.name,sysinfo,,,"Java Platform API Specification",1351617071636
java.specification.vendor,sysinfo,,,"Oracle Corporation",1351617071636
java.specification.version,sysinfo,,,"1.7",1351617071636
java.vendor,sysinfo,,,"Oracle Corporation",1351617071636
java.version,sysinfo,,,"1.7.0",1351617071636
java.vm.info,sysinfo,,,"mixed mode, sharing",1351617071636
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1351617071636
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1351617071636
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1351617071636
java.vm.specification.version,sysinfo,,,"1.7",1351617071636
java.vm.vendor,sysinfo,,,"Oracle Corporation",1351617071636
java.vm.version,sysinfo,,,"21.0-b17",1351617071636
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1351617071803
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1351617071831
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1351617071859
started,bundle,org.eclipse.dltk.core,3.0.1.v20110823,"org.eclipse.dltk.core",1351617072042
started,bundle,org.eclipse.dltk.launching,3.0.0.v20110423,"org.eclipse.dltk.launching",1351617072070
started,bundle,org.eclipse.dltk.ui,3.0.1.v20110823,"org.eclipse.dltk.ui",1351617072075
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1351617072098
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1351617072100
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1351617072137
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1351617072462
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1351617072699
started,bundle,org.eclipse.wb.core.lib,1.1.0.r37x201109091012,"org.eclipse.wb.core.lib",1351617078408
started,bundle,org.eclipse.wb.core,1.1.0.r37x201109091012,"org.eclipse.wb.core",1351617078529
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351617079082
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1351617080631
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1351617080643
started,bundle,org.eclipse.jst.servlet.ui,1.1.501.v201108220630,"org.eclipse.jst.servlet.ui",1351617084705
started,bundle,org.eclipse.php.core,3.0.1.v201201110400,"org.eclipse.php.core",1351617097571
started,bundle,com.android.ide.eclipse.ddms,12.0.0.v201106281929-138431,"com.android.ide.eclipse.ddms",1351617098612
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1351617099526
started,bundle,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.adt",1351617099528
started,bundle,com.android.ide.eclipse.traceview,12.0.0.v201106281929-138431,"com.android.ide.eclipse.traceview",1351617099540
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r371_v20110824-0800,"org.eclipse.ltk.core.refactoring",1351617099935
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1351617099937
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351617114346
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.100.v201101252155,"org.eclipse.jst.ws.jaxws.dom.integration",1351617120838
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1351617120847
error,log,,,"Core exception while retrieving the content description",1351617120919
error,log,,,"Core exception while retrieving the content description",1351617120923
error,log,,,"Core exception while retrieving the content description",1351617121241
error,log,,,"Core exception while retrieving the content description",1351617121245
error,log,,,"Core exception while retrieving the content description",1351617121248
error,log,,,"Core exception while retrieving the content description",1351617121252
error,log,,,"Core exception while retrieving the content description",1351617121256
error,log,,,"Core exception while retrieving the content description",1351617121260
error,log,,,"Core exception while retrieving the content description",1351617121358
error,log,,,"Core exception while retrieving the content description",1351617121361
error,log,,,"Core exception while retrieving the content description",1351617121365
error,log,,,"Core exception while retrieving the content description",1351617121368
error,log,,,"Core exception while retrieving the content description",1351617121372
error,log,,,"Core exception while retrieving the content description",1351617121376
error,log,,,"Core exception while retrieving the content description",1351617121388
error,log,,,"Core exception while retrieving the content description",1351617121392
error,log,,,"Core exception while retrieving the content description",1351617121399
error,log,,,"Core exception while retrieving the content description",1351617121403
error,log,,,"Core exception while retrieving the content description",1351617121407
error,log,,,"Core exception while retrieving the content description",1351617121411
error,log,,,"Core exception while retrieving the content description",1351617121590
error,log,,,"Core exception while retrieving the content description",1351617121593
error,log,,,"Core exception while retrieving the content description",1351617121597
error,log,,,"Core exception while retrieving the content description",1351617121600
error,log,,,"Core exception while retrieving the content description",1351617121604
error,log,,,"Core exception while retrieving the content description",1351617121607
error,log,,,"Core exception while retrieving the content description",1351617121675
error,log,,,"Core exception while retrieving the content description",1351617121678
error,log,,,"Core exception while retrieving the content description",1351617121681
error,log,,,"Core exception while retrieving the content description",1351617121684
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1351617132429
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1351617132453
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351617140401
started,bundle,org.eclipse.wb.swing,1.1.0.r37x201109091143,"org.eclipse.wb.swing",1351617162013
started,bundle,org.eclipse.wb.rcp,1.1.0.r37x201109091152,"org.eclipse.wb.rcp",1351617171185
started,bundle,org.eclipse.wb.swt,1.1.0.r37x201109091134,"org.eclipse.wb.swt",1351617171191
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351617172578
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1351617172633
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1351617174977
started,bundle,org.eclipse.wb.rcp.databinding,1.1.0.r37x201109091152,"org.eclipse.wb.rcp.databinding",1351617175898
started,bundle,org.eclipse.wb.swing.databinding,1.1.0.r37x201109091143,"org.eclipse.wb.swing.databinding",1351617175902
started,bundle,org.eclipse.wb.core.xml,1.1.0.r37x201109091031,"org.eclipse.wb.core.xml",1351617177319
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1351617177847
opened,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1351617177908
started,bundle,org.eclipse.wb.xwt,1.1.0.r37x201109091200,"org.eclipse.wb.xwt",1351617178296
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1351617180482
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1351617181336
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1351617181572
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351617191217
started,bundle,org.eclipse.wb.runtime.lib,1.1.0.r37x201109091012,"org.eclipse.wb.runtime.lib",1351617191602
started,bundle,org.eclipse.wb.rcp.nebula,1.1.0.r37x201109091152,"org.eclipse.wb.rcp.nebula",1351617191742
started,bundle,org.eclipse.wb.swing.FormLayout,1.1.0.r37x201109091143,"org.eclipse.wb.swing.FormLayout",1351617191761
started,bundle,org.eclipse.pde.core,3.7.1.v20110822-2108,"org.eclipse.pde.core",1351617192106
started,bundle,org.eclipse.pde,3.6.100.v201109091335,"org.eclipse.pde",1351617192208
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20110502-1955,"org.eclipse.equinox.simpleconfigurator.manipulator",1351617192240
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20110502-1955,"org.eclipse.equinox.frameworkadmin",1351617192261
started,bundle,org.eclipse.equinox.frameworkadmin.equinox,1.0.300.v20110506,"org.eclipse.equinox.frameworkadmin.equinox",1351617207342
started,bundle,org.eclipse.wb.core.databinding,1.1.0.r37x201109091012,"org.eclipse.wb.core.databinding",1351617211607
started,bundle,org.eclipse.wb.rcp.swing2swt,1.1.0.r37x201109091152,"org.eclipse.wb.rcp.swing2swt",1351617212593
started,bundle,org.eclipse.wb.swing.jsr296,1.1.0.r37x201109091143,"org.eclipse.wb.swing.jsr296",1351617215169
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351617215470
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351617215708
started,bundle,org.eclipse.wb.swing.MigLayout.lib,1.1.0.r37x201109091143,"org.eclipse.wb.swing.MigLayout.lib",1351617217607
started,bundle,org.eclipse.wb.swing.MigLayout,1.1.0.r37x201109091143,"org.eclipse.wb.swing.MigLayout",1351617217609
started,bundle,org.eclipse.wb.swing.java6,1.1.0.r37x201109091143,"org.eclipse.wb.swing.java6",1351617217615
started,bundle,org.eclipse.wb.layout.group,1.1.0.r37x201109091112,"org.eclipse.wb.layout.group",1351617217636
started,bundle,org.eclipse.wb.swing.FormLayout.lib,1.1.0.r37x201109091143,"org.eclipse.wb.swing.FormLayout.lib",1351617218556
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351617219022
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351617232024
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351617270763
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351617275728
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351617277275
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351617277686
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110510,"org.eclipse.equinox.p2.garbagecollector",1351617277899
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1351617282599
